uptrend stock,up percent,downtrend stock,down percent
AA,9.236952528696214,ABC,1.1458638177097114
ADNT,9.190362881411021,,
AHT,5.999997456868489,,
AAN,5.637841796323237,ABEV,1.0869554888924153
AEO,4.499216128946322,,
AC,4.374270861846409,AFC,0.2759227428349064
ACA,4.257924246154716,AFGB,0.19250720957611625
AFI,4.113112635369193,,
ADS,4.1017743488176235,,
AER,4.040830054634953,,
AG,3.983447805498196,,
ACB,3.8358635478368908,AFGC,0.4946768063872082
AGX,3.6602578982167815,,
ACM,3.634479635141166,AHC,0.4566205571678748
ADT,3.43087949367303,,
ABR,3.412550098412682,AEL,0.3209705764954252
AAT,3.3523068874405557,ACC,1.797646439891307
AGI,3.3200530283433136,,
ABG,3.1939419833096587,AEE,0.6123050899930925
AGCO,3.001350918872875,,
AES,2.8655426389479337,,
ABM,2.744113367255905,AEFC,0.625243636022131
ADM,2.5605034597537735,,
AHH,2.4521049053425275,,
AGRO,2.430143062743199,,
ABBV,2.258399926312122,AEB,0.1594297141652982
AGM,2.2059660197886783,,
A,2.1156706469729154,AAP,0.018050892867308127
ACRE,2.090843289443458,,
AEG,1.6494829954458607,,
ABB,1.4680723263453221,ACH,5.015924310455907
AEM,1.4154059152545768,,
ABT,1.2945339052684377,AEP,1.2677652838986844
AFL,1.2586333083795644,,
ACN,1.2022274651291496,,
AFB,1.1938207796796645,,
AI,1.1723894788182576,,
AB,1.1605471113022032,ACEL,0.3642983927199731
ADX,1.123599839954155,,
AGO,1.0574691597072556,,
AFG,1.0051177811313428,,
AGR,0.9064776731409128,,
ADC,0.8828991889395519,,
ACCO,0.5760280564821285,AFT,0.1360510499921922
ACP,0.5434820636233801,,
ACV,0.47239401375205725,,
AGS,0.24876191366376885,,
AGD,0.181648534728383,,
